city_id;city_name;year;pop;density_pop;unemp_rate;gdp_prousd;peoplekilled_in_roadaccident;deaths_roadaccidents;nationals;nationals_%;eu_foreigners;eu_foreigners_%;extraeu_foreigners;extraeu_foreigners_%;nativeborn;nativeborn_%;cars;cars_perc;Capital;cold_weather;URSS_Influence;Closeness;Culural_affinity;
1;Tallinn;2000;400378;2518;;24973;;;284684;71;569;0.14;111334;27.81;;;119632;29.88;1;1;1;1;1
1;Tallinn;2001;399685;2514;13;26849;0.65;26;;;;;;;;;;;1;1;1;1;1
1;Tallinn;2002;398434;2506;;28989;;;;;;;;;;;;;1;1;1;1;1
1;Tallinn;2003;397150;2498;;31412;;;;;;;;;;;;;1;1;1;1;1
1;Tallinn;2004;392306;2467;10;33897;0.51;20;;;;;;;;;80716;20.57;1;1;1;1;1
1;Tallinn;2005;401646;2526;8;36485;0.42;17;;;;;;;;;80716;20.10;1;1;1;1;1
1;Tallinn;2006;398635;2507;4;40641;0.55;22;301942;76;;;;;;;81681;20.49;1;1;1;1;1
1;Tallinn;2007;399141;2510;3;42711;0.63;25;303406;76;;;;;;;83449;20.91;1;1;1;1;1
1;Tallinn;2008;401389;2524;4;39859;0.42;17;306777;76;3831;0.95;38907;9.69;;;69742;17.38;1;1;1;1;1
1;Tallinn;2009;403930;2540;14;35067;0.27;11;309410;77;;0.00;;0.00;;;69438;17.19;1;1;1;1;1
1;Tallinn;2010;406665;2558;;35013;0.15;6;312373;77;5468;1.34;88504;21.76;313559;77.10;68965;16.96;1;1;1;1;1
1;Tallinn;2011;393222;2473;10;38219;0.31;12;;;;0.00;;0.00;312695;79.52;80722;20.53;1;1;1;1;1
1;Tallinn;2012;403862;2540;;40015;0.32;13;318260;79;3654;0.90;81737;20.24;322843;79.94;91692;22.70;1;1;1;1;1
1;Tallinn;2013;406059;2554;6;40750;0.30;12;320334;79;3630;0.89;81760;20.14;325848;80.25;100413;24.73;1;1;1;1;1
1;Tallinn;2014;411063;2585;6;42326;0.17;7;325511;79;3625;0.88;81669;19.87;331044;80.53;107924;26.25;1;1;1;1;1
1;Tallinn;2015;413782;2602;5;43547;0.29;12;328864;79;3712;0.90;81206;19.63;331697;80.16;107784;26.05;1;1;1;1;1
1;Tallinn;2016;423420;2663;6;44478;0.19;8;332430;79;8404;1.98;82574;19.50;337580;79.73;;0.00;1;1;1;1;1
1;Tallinn;2017;426538;2683;5;46617;0.09;4;335268;79;9179;2.15;82047;19.24;340193;79.76;123092;28.86;1;1;1;1;1
1;Tallinn;2018;430805;2709;5;47584;0.16;7;338258;79;10264;2.38;82187;19.08;341884;79.36;135733;31.51;1;1;1;1;1
1;Tallinn;2019;434562;2733;4;49329;0.18;8;340018;78;11422;2.63;83005;19.10;343626;79.07;136273;31.36;1;1;1;1;1
1;Tallinn;2020;438341;2757;6;47606;0.21;9;341270;78;11426;2.61;85645;19.54;345056;78.72;140985;32.16;1;1;1;1;1
2;Riga;2000;762505;2353;;17264;;;452698;59;703;0.09;606352;79.52;557015;73.05;;;1;1;1;1;1
2;Riga;2001;756627;2335;11;18668;2.19;517;;;1038;0.14;64012;8.46;;;502562;66.42;1;1;1;1;1
2;Riga;2002;747157;2306;;20223;;;;;1070;0.14;57478;7.69;;;526279;70.44;1;1;1;1;1
2;Riga;2003;739232;2282;;22126;;;;;;;;;;;552209;74.70;1;1;1;1;1
2;Riga;2004;735241;2269;10;24091;2.22;516;;;4394;0.60;28937;3.94;;;573395;77.99;1;1;1;1;1
2;Riga;2005;731762;2259;8;27121;1.92;442;;;;;;;;;603624;82.49;1;1;1;1;1
2;Riga;2006;727578;2246;6;31511;1.77;407;;;;;;;;;660047;90.72;1;1;1;1;1
2;Riga;2007;722485;2230;6;33863;1.84;419;503573;70;;;;;;;723720;100.17;1;1;1;1;1
2;Riga;2008;697272;2152;8;32789;1.39;316;506684;73;7933;1.14;407560;58.45;;;789650;113.25;1;1;1;1;1
2;Riga;2009;713016;2201;17;27855;1.12;254;508029;71;;0.00;;;;;814436;114.22;1;1;1;1;1
2;Riga;2010;673433;2078;;27257;;218;;;;0.00;;;;;799995;118.79;1;1;1;1;1
2;Riga;2011;658637;2033;17;27721;0.86;179;487239;74;5885;0.89;336273;51.06;520522;79.03;557311;84.62;1;1;1;1;1
2;Riga;2012;649853;2006;14;30692;0.87;177;;;;0.00;;;;;544293;83.76;1;1;1;1;1
2;Riga;2013;643615;1986;;32467;0.88;179;484911;75;5590;0.87;309824;48.14;516149;80.20;551368;85.67;1;1;1;1;1
2;Riga;2014;643368;1986;;33129;1.06;212;488900;76;6035;0.94;298800;46.44;518983;80.67;568423;88.35;1;1;1;1;1
2;Riga;2015;641007;1978;7;34840;0.95;188;489221;76;6805;1.06;291628;45.50;519095;80.98;591112;92.22;1;1;1;1;1
2;Riga;2016;639342;1973;8;35864;0.80;158;492052;77;5974;0.93;282972;44.26;520481;81.41;612459;95.80;1;1;1;1;1
2;Riga;2017;641201;1979;;37063;0.70;136;498114;78;5937;0.93;273509;42.66;525363;81.93;;;1;1;1;1;1
2;Riga;2018;632479;1952;7;39733;0.77;148;491952;78;6221;0.98;266310;42.11;518320;81.95;622808;98.47;1;1;1;1;1
2;Riga;2019;626147;1933;6;39537;;;488327;78;;;;;513711;82.04;;;1;1;1;1;1
2;Riga;2020;621120;1917;8;;;;486204;78;6303;1.01;254102;40.91;510727;82.23;;;1;1;1;1;1
3;Vilnius;2000;558816;1397;;17900;;;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2001;554281;1386;16;19496;0.97;54;543569;98;251;0.05;6104;1.10;;0.00;177215;31.97;1;1;1;1;1
3;Vilnius;2002;553373;1383;;21952;;;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2003;553232;1383;;24409;;;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2004;552800;1382;10;26178;0.99;55;;;;;;;;;204687;37.03;1;1;1;1;1
3;Vilnius;2005;553061;1383;7;28804;0.96;53;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2006;553553;1384;;32510;0.81;45;;;;;;;;;234858;42.43;1;1;1;1;1
3;Vilnius;2007;554409;1386;;37222;1.23;68;;;;;;;;;235162;42.42;1;1;1;1;1
3;Vilnius;2008;555733;1389;;37562;0.77;43;;;;;;;;;243158;43.75;1;1;1;1;1
3;Vilnius;2009;558165;1395;12;31956;0.54;30;;;;;;;;;248593;44.54;1;1;1;1;1
3;Vilnius;2010;543191;1358;12;32508;0.39;21;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2011;536127;1340;10;34572;0.45;24;527448;98;1136;0.21;6175;1.15;478083;89.17;246714;46.02;1;1;1;1;1
3;Vilnius;2012;533279;1333;;36708;0.47;25;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2013;537152;1343;;38860;0.48;26;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2014;539707;1349;;40761;0.50;27;;;;;;;;;;;1;1;1;1;1
3;Vilnius;2015;542626;1357;5;41917;0.33;18;;;;;;;;;181800;33.50;1;1;1;1;1
3;Vilnius;2016;543493;1359;4;43401;0.37;20;;;;;;;;;187678;34.53;1;1;1;1;1
3;Vilnius;2017;545280;1363;3;45232;0.35;19;;;;;;;;;192086;35.23;1;1;1;1;1
3;Vilnius;2018;547484;1369;3;48254;0.31;17;;;;;;;;;199144;36.37;1;1;1;1;1
3;Vilnius;2019;552131;1380;3;51026;0.38;21;;;;;;;;;209440;37.93;1;1;1;1;1
